title,make,model,year,condition,transmission,location,price
Lexus RX 350 2010 White,Lexus,RX,,foreign used,automatic,Amuwo-Odofin,"₦ 21,800,000"
Toyota Venza LE AWD 2013 Brown,Toyota,Venza,,foreign used,automatic,Ibadan,"₦ 20,080,000"
Mercedes-Benz C300 2009 White,,,,foreign used,automatic,Ikeja,"₦ 13,500,000"
Toyota Camry 2.4 LE 2008 Silver,Toyota,Camry,,foreign used,automatic,Amuwo-Odofin,"₦ 10,500,000"
Mercedes-Benz M Class ML 350 4Matic 2013 Silver,,,,foreign used,automatic,Gwarinpa,"₦ 30,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl CVT) 2015 Gray,Toyota,Corolla,,foreign used,automatic,Gwarinpa,"₦ 18,500,000"
Mercedes-Benz M Class ML 350 4Matic 2013 Gray,,,,local used,automatic,Enugu,"₦ 24,500,000"
Honda Accord EX-L 4dr Sedan (2.4L 4cyl CVT) 2014 Black,Honda,Accord,,foreign used,automatic,Ogba,"₦ 16,000,000"
Toyota Hilux 2006 Gray,Toyota,Hilux,2006,local used,manual,Gwagwalada,"₦ 5,500,000"
Mercedes-Benz GLE-Class GLE 450 4MATIC 2020 Black,,,,local used,automatic,Lekki,"₦ 79,500,000"
Honda Civic Sport Coupe 2019 Gray,Honda,Civic,,foreign used,automatic,Apapa,"₦ 24,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 White,Toyota,Camry,,local used,automatic,Benin City,"₦ 7,500,000"
Lexus ES 2014 Gray,Lexus,ES,2014,foreign used,automatic,Amuwo-Odofin,"₦ 22,000,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 Silver,,,,foreign used,automatic,Apapa,"₦ 88,000,000"
Lexus RX 2016 Gold,Lexus,RX,2016,foreign used,automatic,Amuwo-Odofin,"₦ 45,000,000"
Toyota Highlander Sport 2010 Gray,Toyota,Highlander,,foreign used,automatic,Magodo,"₦ 16,300,000"
Toyota RAV4 2023 Gray,Toyota,RAV4,2023,foreign used,automatic,Mabushi,"₦ 67,500,000"
Toyota Venza XLE AWD V6 2013 Red,Toyota,Venza,,foreign used,automatic,Uyo,"₦ 24,200,000"
Lexus RX 350 AWD 2013 Black,Lexus,RX,,foreign used,automatic,Apapa,"₦ 29,500,000"
Lexus GX 460 Base 2014 Silver,Lexus,GX,,foreign used,automatic,Ojodu,"₦ 43,500,000"
Mercedes-Benz GLA 250 2015 Silver,,,,foreign used,automatic,Central Business District,"₦ 21,000,000"
Lexus RX 350 AWD 2015 Silver,Lexus,RX,,foreign used,automatic,Apapa,"₦ 26,800,000"
Lexus RX 350 2011 Red,Lexus,RX,,local used,automatic,Port-Harcourt,"₦ 16,830,000"
Toyota Tundra 2014 White,Toyota,Tundra,2014,foreign used,automatic,Surulere,"₦ 41,500,000"
Lexus RX 350 2013 Black,Lexus,RX,,foreign used,automatic,Apapa,"₦ 28,500,000"
New Toyota Coaster 2024 White,New,Toyota,,new,manual,Wuse,"₦ 135,000,000"
Mercedes-Benz M Class ML 350 BlueTEC 4Matic 2012 White,,,,foreign used,automatic,Ikorodu,"₦ 30,000,000"
Mercedes-Benz GLE-Class GLE 350 4MATIC 2021 White,,,,foreign used,automatic,Lekki,"₦ 113,000,000"
Hyundai Sonata 2015 Brown,Hyundai,Sonata,2015,local used,automatic,Port-Harcourt,"₦ 16,200,000"
Lexus RX 350 2010 Off white,Lexus,RX,,foreign used,automatic,Ibadan,"₦ 22,500,000"
Porsche Macan S 2016 Blue,Porsche,Macan,,foreign used,automatic,Lekki,"₦ 48,500,000"
Toyota RAV4 Limited 4dr SUV AWD (2.5L 4cyl 6A) 2015 Gray,Toyota,RAV4,,foreign used,automatic,Ibadan,"₦ 20,500,000"
Mercedes-Benz A-Class A 220 4MATIC 2019 Red,,,,foreign used,automatic,Mabushi,"₦ 55,000,000"
Toyota Tacoma 2015 Gold,Toyota,Tacoma,2015,foreign used,automatic,Apapa,"₦ 25,000,000"
Lexus ES 350 FWD 2015 Silver,Lexus,ES,,foreign used,automatic,Apapa,"₦ 22,800,000"
Porsche Cayenne S 2009 Black,Porsche,Cayenne,,local used,automatic,Isolo,"₦ 7,950,000"
Hyundai Sonata 2017 Silver,Hyundai,Sonata,2017,local used,automatic,Magodo,"₦ 12,500,000"
Toyota Camry 2009 Silver,Toyota,Camry,2009,local used,automatic,Ikeja,"₦ 7,350,000"
Toyota Highlander LE 4dr SUV AWD (3.5L 6cyl 6A) 2015 Gray,Toyota,Highlander,,foreign used,automatic,Surulere,"₦ 29,500,000"
Lexus RX 350 2017 Red,Lexus,RX,,foreign used,automatic,Jahi,"₦ 45,000,000"
Mercedes-Benz GLE-Class 2016 Silver,,,,foreign used,automatic,Lekki,"₦ 72,000,000"
Mercedes-Benz GLK-Class 2012 Black,,,,foreign used,automatic,Isolo,"₦ 19,000,000"
Lexus ES 350 2008 Silver,Lexus,ES,,local used,automatic,Ajah,"₦ 7,850,000"
Hyundai Elantra Sport Sedan FWD (1.6L 4cyl 6M) 2017 Gray,Hyundai,Elantra,,local used,automatic,Ajah,"₦ 9,700,000"
Hyundai Sonata Limited 2.0T Seban (2.0L 4cyl 6A) 2016 White,Hyundai,Sonata,,foreign used,automatic,Lekki,"₦ 19,000,000"
Mercedes-Benz GLE-Class 2018 Gray,,,,foreign used,automatic,Central Business District,"₦ 58,700,000"
Toyota Hilux Rugged X 4x4 2018 White,Toyota,Hilux,,foreign used,automatic,Ajah,"₦ 72,000,000"
Lexus ES 350 FWD 2014 White,Lexus,ES,,foreign used,automatic,Ibadan,"₦ 22,500,000"
Toyota 4-Runner 2001 Silver,Toyota,4-Runner,2001,local used,automatic,Mushin,"₦ 4,800,000"
Toyota Corolla 2005 Silver,Toyota,Corolla,2005,local used,automatic,Ogba,"₦ 5,200,000"
Toyota Corolla 1.6 VVT-i 2007 Black,Toyota,Corolla,,foreign used,automatic,Amuwo-Odofin,"₦ 9,500,000"
New Toyota Land Cruiser Prado 2025 Black,New,Toyota,,new,automatic,Jahi,"₦ 165,000,000"
Honda Accord Automatic 2005 Silver,Honda,Accord,,local used,automatic,Ikeja,"₦ 4,000,000"
Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 Black,,,,foreign used,automatic,Apapa,"₦ 43,900,000"
Mercedes-Benz M Class ML350 4dr SUV (3.5L 6cyl 7A) 2015 White,,,,foreign used,automatic,Amuwo-Odofin,"₦ 26,500,000"
Lexus ES 350 2010 Red,Lexus,ES,,foreign used,automatic,Apapa,"₦ 14,000,000"
Toyota Hilux 2020 White,Toyota,Hilux,2020,foreign used,automatic,Central Business District,"₦ 57,000,000"
Pontiac Vibe 2006 Off white,Pontiac,Vibe,2006,foreign used,automatic,Kubwa,"₦ 7,850,000"
Land Rover Range Rover Vogue 2015 Black,Land,Rover,,local used,automatic,Ajah,"₦ 35,000,000"
Lexus GX 460 Luxury 2015 Gray,Lexus,GX,,foreign used,automatic,Lekki,"₦ 53,000,000"
Honda Shuttle 2001 Blue,Honda,Shuttle,2001,foreign used,automatic,Apapa,"₦ 6,900,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014,,,,foreign used,automatic,Central Business District,"₦ 28,500,000"
Toyota Corolla 2013 White,Toyota,Corolla,2013,foreign used,automatic,Surulere,"₦ 13,850,000"
Lexus RX 350 2018 Gray,Lexus,RX,,foreign used,automatic,Magodo,"₦ 55,000,000"
Toyota Land Cruiser 5.7 V8 GXR 2020 Black,Toyota,Land,,foreign used,automatic,Ikeja,"₦ 75,000,000"
Mercedes-Benz S-Class S 550 2013 Black,,,,local used,automatic,Mabushi,"₦ 130,000,000"
Honda Accord 2019 Silver,Honda,Accord,2019,foreign used,automatic,Isolo,"₦ 28,000,000"
Mercedes-Benz E300 2017 White,,,,local used,automatic,Ikeja,"₦ 38,000,000"
Toyota Camry 2004 Red,Toyota,Camry,2004,local used,automatic,Surulere,"₦ 4,700,000"
Mercedes-Benz GLE-Class AMG GLE 63 4MATIC 2021 Black,,,,foreign used,automatic,Garki 2,"₦ 220,000,000"
Toyota Corolla 2006 Red,Toyota,Corolla,2006,foreign used,automatic,Lekki,"₦ 9,500,000"
Mazda CX-9 2011 Blue,Mazda,CX-9,2011,foreign used,automatic,Yaba,"₦ 11,999,999"
Lexus ES 2005 Silver,Lexus,ES,2005,local used,automatic,Port-Harcourt,"₦ 6,000,000"
Lexus RX 2017 Red,Lexus,RX,2017,foreign used,automatic,Surulere,"₦ 45,000,000"
Mercedes-Benz GLE-Class GLE 450 4MATIC 2020 Gray,,,,foreign used,automatic,Central Business District,"₦ 138,500,000"
Mercedes-Benz C43 2018 White,,,,foreign used,automatic,Gwarinpa,"₦ 55,000,000"
Honda Accord 1998 Red,Honda,Accord,1998,local used,automatic,Ikeja,"₦ 2,200,000"
New Toyota Granvia 2025 Black,New,Toyota,,new,automatic,Lekki,"₦ 285,000,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl 4A) 2010 Red,Toyota,Corolla,,foreign used,automatic,Apapa,"₦ 12,550,000"
Lexus ES 350 2009 Black,Lexus,ES,,local used,automatic,Gwarinpa,"₦ 9,500,000"
Toyota RAV4 XLE 4dr SUV AWD (2.5L 4cyl 6A) 2015 Silver,Toyota,RAV4,,local used,automatic,Surulere,"₦ 16,890,000"
Land Rover Range Rover 5.0L V8 Supercharged Autobiography 2019 Black,Land,Rover,,local used,automatic,Ikeja,"₦ 78,000,000"
Ford Focus 1.6 Ambiente 2005,Ford,Focus,,foreign used,unknown,Amuwo-Odofin,"₦ 5,500,000"
Mercedes-Benz GLC-Class 2017 Black,,,,foreign used,automatic,Amuwo-Odofin,"₦ 38,000,000"
Lexus RX 350 2011 Red,Lexus,RX,,local used,automatic,Ikeja,"₦ 17,622,000"
Hyundai Sonata 2011 Blue,Hyundai,Sonata,2011,foreign used,automatic,Isolo,"₦ 9,700,000"
Lexus RX 330 2005 White,Lexus,RX,,local used,automatic,Ilupeju,"₦ 8,415,000"
Pontiac Vibe Automatic 2003 Red,Pontiac,Vibe,,local used,automatic,Kubwa,"₦ 4,500,000"
Lexus RX 350 2015 White,Lexus,RX,,foreign used,automatic,Ikeja,"₦ 29,000,000"
Lexus RX 350 2011 White,Lexus,RX,,local used,automatic,Ogba,"₦ 17,650,000"
Toyota Highlander Limited 2012 Silver,Toyota,Highlander,,foreign used,automatic,Apapa,"₦ 23,000,000"
Toyota Corolla 2010 Blue,Toyota,Corolla,2010,foreign used,automatic,Apapa,"₦ 11,500,000"
Ford Explorer 2013 Black,Ford,Explorer,2013,local used,automatic,Lekki,"₦ 7,650,000"
Ford Edge 2012 White,Ford,Edge,2012,foreign used,automatic,Ogudu,"₦ 11,200,000"
Toyota Tacoma Double Cab V6 Automatic 2010 Gray,Toyota,Tacoma,,foreign used,automatic,Apapa,"₦ 24,000,000"
Lexus RX 330 2006 Gold,Lexus,RX,,local used,automatic,Uyo,"₦ 6,000,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2016 Black,,,,local used,unknown,Amuwo-Odofin,"₦ 23,500,000"
Toyota Sequoia 2015 Black,Toyota,Sequoia,2015,foreign used,automatic,Apapa,"₦ 33,500,000"
Land Rover Range Rover Evoque HSE Dynamic 4x4 5-Door 2017 Gray,Land,Rover,,foreign used,automatic,Amuwo-Odofin,"₦ 34,000,000"
Lexus RX 350 2010 Gray,Lexus,RX,,local used,automatic,Alimosho,"₦ 18,000,000"
Toyota Venza 2012 Silver,Toyota,Venza,2012,foreign used,automatic,Apapa,"₦ 18,900,000"
Lexus GX 460 Luxury 2015 White,Lexus,GX,,foreign used,automatic,Apapa,"₦ 55,000,000"
Mercedes-Benz GLC-Class 2019 White,,,,foreign used,automatic,Ikeja,"₦ 64,000,000"
Mercedes-Benz GLB-Class 2021 Burgundy,,,,foreign used,automatic,Surulere,"₦ 80,000,000"
Honda Civic 2019 Red,Honda,Civic,2019,foreign used,automatic,Kaduna / Kaduna State,"₦ 19,500,000"
Mercedes-Benz E350 2005 Gray,,,,local used,automatic,Mabushi,"₦ 3,700,000"
Hyundai Sonata 2012 Silver,Hyundai,Sonata,2012,foreign used,automatic,Isolo,"₦ 12,800,000"
Toyota Camry 2015 Black,Toyota,Camry,2015,foreign used,automatic,Ikeja,"₦ 22,000,000"
Toyota RAV4 2008 Gold,Toyota,RAV4,2008,local used,automatic,Badagry,"₦ 7,900,000"
Mercedes-Benz GLE-Class GLE 350 4MATIC 2020 White,,,,foreign used,automatic,Ikeja,"₦ 80,000,000"
Toyota Matrix Standard AWD (1.8L 4cyl 4A) 2004 Red,Toyota,Matrix,,local used,automatic,Port-Harcourt,"₦ 3,750,000"
Mercedes-Benz GLE-Class 2016 Black,,,,foreign used,automatic,Amuwo-Odofin,"₦ 68,000,000"
Hyundai Accent SE 2020 Black,Hyundai,Accent,,local used,automatic,Mabushi,"₦ 11,000,000"
Honda Accord 2014 Black,Honda,Accord,2014,local used,automatic,Ikorodu,"₦ 10,450,000"
Honda Accord 2016 Black,Honda,Accord,2016,foreign used,automatic,Gwarinpa,"₦ 15,000,000"
Land Rover Lr4 Base AWD 2013 Black,Land,Rover,,local used,automatic,Lekki,"₦ 13,500,000"
Honda Accord Sport 4dr Sedan (2.4L 4cyl 6M) 2014 Red,Honda,Accord,,foreign used,automatic,Mabushi,"₦ 15,450,000"
Mercedes-Benz M Class ML 350 BlueTEC 4Matic 2013 Silver,,,,foreign used,automatic,Isolo,"₦ 23,500,000"
Toyota Camry SE Sport 4dr Sedan w/Prod. End 11/13 (2.5L 4cyl 6A) 2014,Toyota,Camry,,foreign used,automatic,Osogbo,"₦ 14,200,000"
Toyota RAV4 2021 Black,Toyota,RAV4,2021,foreign used,automatic,Apapa,"₦ 40,000,000"
Honda CR-V 2000 Silver,Honda,CR-V,2000,local used,automatic,Alimosho,"₦ 1,800,000"
Peugeot 206 SW 2004 Blue,Peugeot,206,,foreign used,manual,Garki 2,"₦ 4,250,000"
Lexus RX 350 2008 Blue,Lexus,RX,,foreign used,automatic,Apapa,"₦ 14,000,000"
Land Rover Defender 2022 Silver,Land,Rover,,local used,automatic,Central Business District,"₦ 135,000,000"
Lexus ES 350 2012 Black,Lexus,ES,,foreign used,automatic,Apapa,"₦ 15,500,000"
Mercedes-Benz C300 2009 White,,,,foreign used,automatic,Amuwo-Odofin,"₦ 13,500,000"
Toyota Solara 2.4 Coupe 2006 White,Toyota,Solara,,local used,automatic,Isolo,"₦ 4,200,000"
Hyundai Sonata Sport 4dr Sedan (2.4L 4cyl 6A) 2015 Blue,Hyundai,Sonata,,local used,automatic,Surulere,"₦ 9,500,000"
Toyota Camry 2008 Gold,Toyota,Camry,2008,local used,automatic,Ifako-Ijaiye,"₦ 6,800,000"
Mercedes-Benz C300 2016 Black,,,,foreign used,automatic,Ojodu,"₦ 27,500,000"
Honda Pilot 2004 Red,Honda,Pilot,2004,local used,automatic,Ikeja,"₦ 6,000,000"
Toyota Camry Automatic 1999 Gray,Toyota,Camry,,local used,automatic,Amuwo-Odofin,"₦ 3,000,000"
Nissan Versa 1.6 SV 2013 Silver,Nissan,Versa,,local used,automatic,Port-Harcourt,"₦ 3,200,000"
Toyota Corolla LE (1.8L 4cyl 2A) 2018 White,Toyota,Corolla,,foreign used,automatic,Mabushi,"₦ 18,500,000"
Toyota Highlander XLE 2022 Gray,Toyota,Highlander,,foreign used,automatic,Apapa,"₦ 70,000,000"
Lexus RX 2011 Red,Lexus,RX,2011,foreign used,automatic,Apapa,"₦ 20,000,000"
Toyota Avalon 2014 Gold,Toyota,Avalon,2014,foreign used,automatic,Apapa,"₦ 23,500,000"
Mercedes-Benz C300 2023 Silver,,,,foreign used,automatic,Amuwo-Odofin,"₦ 95,000,000"
Lexus RX 350 FWD 2014 Gray,Lexus,RX,,foreign used,automatic,Ife,"₦ 26,000,000"
Toyota Camry 2012 Black,Toyota,Camry,2012,local used,automatic,Ojodu,"₦ 10,400,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Gray,Toyota,Camry,,foreign used,automatic,Ikeja,"₦ 15,000,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014,,,,local used,automatic,Ogba,"₦ 22,200,000"
Mercedes-Benz GLK-Class 350 4MATIC 2013 Black,,,,foreign used,automatic,Ikeja,"₦ 24,000,000"
Mercedes-Benz GL-Class 450 2016 White,,,,foreign used,automatic,Isolo,"₦ 41,900,000"
Toyota 4-Runner 2004 Black,Toyota,4-Runner,2004,local used,automatic,Ajah,"₦ 4,700,000"
Toyota Avalon Base Sedan FWD (3.5L 6cyl 6A) 2012 Black,Toyota,Avalon,,local used,automatic,Gwarinpa,"₦ 9,500,000"
Honda Pilot 2013 White,Honda,Pilot,2013,foreign used,automatic,Ikeja,"₦ 18,500,000"
Lexus RX 350 2010 Gold,Lexus,RX,,foreign used,automatic,Apapa,"₦ 23,500,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Blue,Toyota,Camry,,local used,automatic,Ogba,"₦ 8,500,000"
Acura MDX 2011 Red,Acura,MDX,2011,foreign used,automatic,Apapa,"₦ 15,500,000"
Toyota Avalon XLE Plus Sedan FWD (3.5L 6cyl 6A) 2017 Gray,Toyota,Avalon,,foreign used,automatic,Garki 2,"₦ 23,500,000"
Lexus RX 350 F Sport AWD 2015 White,Lexus,RX,,foreign used,automatic,Apapa,"₦ 38,000,000"
Cadillac Escalade 2022 White,Cadillac,Escalade,2022,foreign used,automatic,Ojodu,"₦ 230,000,000"
Toyota Yaris 2008 Black,Toyota,Yaris,2008,local used,automatic,Kaduna / Kaduna State,"₦ 4,600,000"
Honda Pilot 2007 Black,Honda,Pilot,2007,local used,automatic,Ibadan,"₦ 5,200,000"
Honda Accord 2.0 Comfort Automatic 2005 Blue,Honda,Accord,,local used,automatic,Port-Harcourt,"₦ 2,900,000"
Hyundai Sonata 2008 Gray,Hyundai,Sonata,2008,local used,automatic,Ojota,"₦ 3,650,000"
Mercedes-Benz M Class 2014 White,,,,foreign used,automatic,Apapa,"₦ 36,200,000"
BMW 7 Series 2004 Black,BMW,7,,foreign used,automatic,Ikeja,"₦ 6,500,000"
Toyota Matrix 2006 Blue,Toyota,Matrix,2006,local used,automatic,Ikeja,"₦ 5,390,000"
Toyota Corolla 2010 Red,Toyota,Corolla,2010,local used,automatic,Surulere,"₦ 8,800,000"
Ford Taurus 2011 Silver,Ford,Taurus,2011,local used,automatic,Lokogoma,"₦ 5,500,000"
Ford F-150 2015 Black,Ford,F-150,2015,foreign used,automatic,Lekki,"₦ 49,000,000"
Toyota Camry Automatic 1999 Silver,Toyota,Camry,,local used,automatic,Awka,"₦ 2,400,000"
Pontiac Vibe 2005 Black,Pontiac,Vibe,2005,local used,automatic,Kaduna / Kaduna State,"₦ 4,900,000"
Hyundai Elantra Limited 2022 Blue,Hyundai,Elantra,,foreign used,automatic,Gwarinpa,"₦ 33,999,999"
Toyota Corolla 2013 Black,Toyota,Corolla,2013,local used,automatic,Wuye,"₦ 8,500,000"
Mercedes-Benz A-Class 2003 Silver,,,,foreign used,manual,Enugu,"₦ 6,800,000"
Mercedes-Benz S-Class S 500 4MATIC 2024 Black,,,,local used,automatic,Ajah,"₦ 12,800,000"
Toyota Highlander 2015 Gray,Toyota,Highlander,2015,foreign used,automatic,Apapa,"₦ 35,000,000"
Toyota Camry Base 4dr Sedan (2.4L 4cyl 5M) 2009 Gold,Toyota,Camry,,local used,automatic,Jabi,"₦ 6,800,000"
Toyota Sienna 2012 Silver,Toyota,Sienna,2012,foreign used,automatic,Isolo,"₦ 20,500,000"
Honda Accord 2012 Black,Honda,Accord,2012,foreign used,automatic,Amuwo-Odofin,"₦ 11,500,000"
Mercedes-Benz GLE-Class GLE 350 2016 Black,,,,foreign used,automatic,Ajah,"₦ 46,500,000"
Jeep Wrangler 2014 Black,Jeep,Wrangler,2014,local used,automatic,Katampe,"₦ 19,700,000"
Toyota Corolla L 4dr Sedan (1.8L 4cyl 5M) 2013 Silver,Toyota,Corolla,,local used,automatic,Osogbo,"₦ 13,500,000"
Toyota Corolla 2022 Black,Toyota,Corolla,2022,foreign used,automatic,Mabushi,"₦ 28,000,000"
Toyota Corolla 2000 Gold,Toyota,Corolla,2000,local used,automatic,Ajah,"₦ 2,900,000"
Toyota Venza Limited AWD V6 2013 White,Toyota,Venza,,foreign used,automatic,Apapa,"₦ 22,500,000"
Lexus RX 350 AWD 2012 Red,Lexus,RX,,foreign used,automatic,Amuwo-Odofin,"₦ 22,000,000"
Toyota Camry 2007 White,Toyota,Camry,2007,local used,automatic,Kubwa,"₦ 8,640,000"
Toyota Corolla Sedan 2003 Blue,Toyota,Corolla,,local used,automatic,Agege,"₦ 4,000,000"
Toyota Highlander Limited 2012 Red,Toyota,Highlander,,local used,automatic,Lekki,"₦ 13,850,000"
Honda Civic DX 2dr Hatchback 1997 Green,Honda,Civic,,local used,automatic,Zaria,"₦ 2,100,000"
Toyota Hilux 2020 White,Toyota,Hilux,2020,foreign used,automatic,Surulere,"₦ 73,000,000"
Toyota Hilux WORKMATE 4x4 2015 White,Toyota,Hilux,,local used,manual,Apapa,"₦ 31,500,000"
New Kia Sportage 2018 Black,New,Kia,,new,automatic,Ojodu,"₦ 23,500,000"
Honda Accord 1997 Gold,Honda,Accord,1997,local used,automatic,Nyanya,"₦ 2,200,000"
Toyota Camry 2013 Green,Toyota,Camry,2013,foreign used,automatic,Apapa,"₦ 16,500,000"
Lexus RX 2005 Gray,Lexus,RX,2005,local used,automatic,Surulere,"₦ 8,850,000"
Subaru Outback 3.0 R Sportshift Premium 2007 Blue,Subaru,Outback,,local used,automatic,Ifako-Ijaiye,"₦ 4,500,000"
Mercedes-Benz GLK-Class 350 4MATIC 2011 Gray,,,,local used,automatic,Surulere,"₦ 14,350,000"
Mercedes-Benz C300 2008 Black,,,,local used,automatic,Bwari,"₦ 8,100,000"
Toyota RAV4 Limited V6 2008 Silver,Toyota,RAV4,,foreign used,automatic,Apapa,"₦ 13,800,000"
Toyota Corolla 2012 Gold,Toyota,Corolla,2012,foreign used,automatic,Apapa,"₦ 12,700,000"
Mercedes-Benz GLK-Class Base GLK 350 4dr AWD 4MATIC (3.5L 6cyl 7A) 2015,,,,foreign used,automatic,Ajah,"₦ 19,500,000"
Toyota Land Cruiser Prado 2012 Black,Toyota,Land,,local used,manual,Jabi,"₦ 9,500,000"
Mercedes-Benz M Class ML 350 4Matic 2010 Black,,,,foreign used,automatic,Apapa,"₦ 15,000,000"
Toyota Highlander 2013 Gray,Toyota,Highlander,2013,foreign used,automatic,Apapa,"₦ 22,500,000"
Lexus RX 350 F SPORT AWD 2013 Gray,Lexus,RX,,foreign used,automatic,Amuwo-Odofin,"₦ 29,500,000"
Infiniti QX56 2011 Silver,Infiniti,QX56,2011,foreign used,automatic,Gwarinpa,"₦ 10,450,000"
Mercedes-Benz GLC-Class 2017 Red,,,,foreign used,automatic,Ajah,"₦ 65,700,000"
Toyota Corolla 2012 Black,Toyota,Corolla,2012,foreign used,automatic,Apapa,"₦ 13,300,000"
Mercedes-Benz GLE-Class GLE 350 2018 Black,,,,foreign used,automatic,Magodo,"₦ 45,000,000"
Lexus RX 350 2WD 2020 Gray,Lexus,RX,,foreign used,automatic,Amuwo-Odofin,"₦ 98,000,000"
Mercedes-Benz C300 2010 Black,,,,local used,automatic,Ikeja,"₦ 8,750,000"
Lexus RX 350 2021 Black,Lexus,RX,,foreign used,automatic,Ikeja,"₦ 76,000,000"
Toyota Highlander 2014 Blue,Toyota,Highlander,2014,foreign used,automatic,Ikeja,"₦ 34,000,000"
Lexus RX 350 2014 Brown,Lexus,RX,,local used,automatic,Port-Harcourt,"₦ 18,500,000"
Toyota Highlander Hybrid Limited 2010 Red,Toyota,Highlander,,local used,automatic,Lokogoma,"₦ 13,800,000"
Honda Civic 1.4 2008 Black,Honda,Civic,,local used,automatic,Lokogoma,"₦ 3,900,000"
Toyota Matrix XR Hatchback FWD (1.8L 4cyl 4A) 2007 Gray,Toyota,Matrix,,local used,automatic,Ikeja,"₦ 5,700,000"
Toyota Sequoia Platinum 4x4 2018 Black,Toyota,Sequoia,,foreign used,automatic,Apapa,"₦ 40,000,000"
Pontiac Vibe 2010 Red,Pontiac,Vibe,2010,foreign used,automatic,Apapa,"₦ 9,800,000"
Toyota Matrix 2004 Silver,Toyota,Matrix,2004,foreign used,automatic,Alimosho,"₦ 7,400,000"
Toyota Highlander Limited 4x4 2008 Gray,Toyota,Highlander,,foreign used,automatic,Apapa,"₦ 16,800,000"
Lexus GX 470 Sport Utility 2006 Silver,Lexus,GX,,foreign used,automatic,Apapa,"₦ 13,980,000"
Toyota Corolla 2009 Red,Toyota,Corolla,2009,local used,automatic,Gwarinpa,"₦ 8,000,000"
Hyundai Sonata Limited Sedan FWD (2.4L 4cyl 6A) 2013 Silver,Hyundai,Sonata,,foreign used,automatic,Gwarinpa,"₦ 12,650,000"
Hyundai Sonata Limited 4dr Sedan (2.4L 4cyl 6A) 2015 Red,Hyundai,Sonata,,foreign used,automatic,Garki 2,"₦ 18,000,000"
Honda Civic 2008 Black,Honda,Civic,2008,foreign used,automatic,Ikeja,"₦ 7,500,000"
Mercedes-Benz M Class 2014,,,,foreign used,automatic,Apapa,"₦ 28,000,000"
Lexus GS 2022 White,Lexus,GS,2022,foreign used,automatic,Apo District,"₦ 115,000,000"
Mercedes-Benz GLE-Class 2016 Black,,,,foreign used,automatic,Surulere,"₦ 76,500,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2008 Silver,Toyota,Camry,,foreign used,automatic,Surulere,"₦ 10,200,000"
Lexus GS 300 2007 Gray,Lexus,GS,,local used,automatic,Yaba,"₦ 6,300,000"
Toyota Corolla 2006 Gold,Toyota,Corolla,2006,local used,automatic,Lokogoma,"₦ 5,700,000"
Toyota Tacoma 2015 Blue,Toyota,Tacoma,2015,foreign used,automatic,Apapa,"₦ 28,000,000"
Mercedes-Benz M Class ML 350 4Matic 2013 Gray,,,,foreign used,automatic,Ikoyi,"₦ 26,500,000"
Toyota Highlander Limited 4x4 V6 (3.5L 6cyl 8A) 2018 Black,Toyota,Highlander,,foreign used,automatic,Central Business District,"₦ 32,500,000"
Lexus ES 350 2009 Black,Lexus,ES,,foreign used,automatic,Amuwo-Odofin,"₦ 12,700,000"
Mercedes-Benz GLK-Class 350 4MATIC 2012 Black,,,,foreign used,automatic,Amuwo-Odofin,"₦ 18,000,000"
Nissan Pick-Up 1999 Red,Nissan,Pick-Up,1999,local used,manual,Gwagwalada,"₦ 4,500,000"
Lexus RX 350 2010 White,Lexus,RX,,foreign used,automatic,Gwarinpa,"₦ 20,800,000"
Toyota Camry 2013 Red,Toyota,Camry,2013,foreign used,automatic,Central Business District,"₦ 14,500,000"
Chevrolet Trax 2014 Gray,Chevrolet,Trax,2014,foreign used,automatic,Alimosho,"₦ 13,000,000"
Mercedes-Benz M Class 2014 Gray,,,,foreign used,automatic,Katampe,"₦ 26,000,000"
Mercedes-Benz E350 2013 Silver,,,,foreign used,automatic,Lekki,"₦ 18,800,000"
Toyota Tacoma 2018 Black,Toyota,Tacoma,2018,foreign used,automatic,Apapa,"₦ 42,000,000"
Lexus ES 350 FWD 2013 Black,Lexus,ES,,foreign used,automatic,Ibadan,"₦ 21,950,000"
Mercedes-Benz GLE-Class 2016 Silver,,,,foreign used,automatic,Lekki,"₦ 65,000,000"
Toyota Highlander 2009 Red,Toyota,Highlander,2009,foreign used,automatic,Apapa,"₦ 18,000,000"
Toyota Yaris 2008 Blue,Toyota,Yaris,2008,local used,automatic,Ibadan,"₦ 7,750,000"
