title,make,model,year,condition,transmission,location,price
Land Rover Range Rover 5.0L Supercharged 2017 Gray,Land,Rover,,foreign used,automatic,Lekki,"₦ 58,500,000"
Toyota Camry 2013 Black,Toyota,Camry,2013,foreign used,automatic,Ikeja,"₦ 15,000,000"
Hyundai Sonata SE Sedan FWD (2.4L 4cyl 6A) 2013 Gray,Hyundai,Sonata,,foreign used,automatic,Amuwo-Odofin,"₦ 14,500,000"
Lexus RX 350 2015 Red,Lexus,RX,,foreign used,automatic,Ojodu,"₦ 28,500,000"
Honda CR-V 2013 Gray,Honda,CR-V,2013,local used,automatic,Kaura,"₦ 11,200,000"
Honda Accord 2024 Gray,Honda,Accord,2024,local used,automatic,Gwarinpa,"₦ 38,000,000"
Toyota Highlander 3.5L 4WD 2013 White,Toyota,Highlander,,foreign used,automatic,Amuwo-Odofin,"₦ 20,000,000"
Toyota Camry 2011 Green,Toyota,Camry,2011,foreign used,automatic,Apapa,"₦ 11,800,000"
Lexus RX 350 2010 Blue,Lexus,RX,,foreign used,automatic,Ajah,"₦ 22,300,000"
Toyota Tacoma 2013 Black,Toyota,Tacoma,2013,foreign used,automatic,Apapa,"₦ 27,000,000"
Toyota RAV4 3.5 Sport 4x4 2012 Black,Toyota,RAV4,,foreign used,automatic,Apapa,"₦ 15,500,000"
Toyota Camry 2014 White,Toyota,Camry,2014,foreign used,automatic,Ajah,"₦ 14,700,000"
Toyota Hilux 2022 Matt Black,Toyota,Hilux,2022,foreign used,automatic,Apapa,"₦ 85,000,000"
Toyota Corolla 2012 Gold,Toyota,Corolla,2012,foreign used,automatic,Ikeja,"₦ 12,500,000"
Toyota Auris 2011 Silver,Toyota,Auris,2011,foreign used,automatic,Apapa,"₦ 12,500,000"
Toyota Venza V6 AWD 2011 Black,Toyota,Venza,,foreign used,automatic,Apapa,"₦ 22,000,000"
Hyundai Santa Fe 2015 Silver,Hyundai,Santa,,local used,automatic,Lekki,"₦ 14,350,000"
Land Rover Range Rover Evoque 2014 Black,Land,Rover,,local used,automatic,Surulere,"₦ 13,550,000"
Mercedes-Benz S-Class S 580 4MATIC 2022 Black,,,,foreign used,automatic,Gwarinpa,"₦ 280,000,000"
Toyota Auris 1.6 Dual VVT-i 2007 Gray,Toyota,Auris,,foreign used,manual,Ojo,"₦ 5,500,000"
Mercedes-Benz C300 2016 Blue,,,,foreign used,automatic,Ajah,"₦ 26,000,000"
